,research,materials,engineering,science,chemical,quantum,ieee,degrees,fusion,optics,phys,award,matter,laser,journal,sciences,syllabushist,energy,laboratory,school
PHYURtest41.csv,-0.45046418615743816,-0.0,-0.3570045291845956,-0.0,0.5209708541173649,0.6294387332810728,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.377275649908207,-0.04253618819827955,-0.0,0.14495055444260643,-0.0,-0.03682959929187951,-0.0,0.07258453632823526
PHYURtest42.csv,4.053623873608903,-0.0,-0.30754632560030243,5.319815235088565,-0.0,-0.0,-0.0,-0.0,0.6360778318428209,-0.0,-0.0,-0.0,2.368675237934468,1.253176071914284,-0.0,0.12971324733108006,-0.0,-0.030890214493142065,0.5036169987474524,0.0673289911794852
PHYURtest43.csv,25.042137366988516,-0.0,-0.31963297167944177,-0.0,-0.0,-0.0,-0.0,0.5218283675535428,7.999622533488131,-0.0,-0.0,0.5308059005568027,0.2871582226296413,36.30852978191796,-0.0,0.1398664256691725,-0.0,4.6801592434800705,21.302991341274872,0.07497999234116
PHYURtest44.csv,0.3142067425217074,1.9501740801943435,-0.05504268859276278,-0.05238633032922591,1.0768244536291058,-0.0,-0.0,-0.0,-0.0,-0.0,25.695266207434177,-0.0,0.9093603689306029,-0.011808007599497954,-0.0,0.05291927058865762,-0.0,-0.010055371538174599,-0.0,0.029208922131166427
PHYURtest45.csv,1.7938426592785228,-0.0,-0.6478914608833686,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09384720761411672,13.694384609487642,-0.06406429985157014,-0.0,0.30549677834151523,-0.0,2.7357338897960015,-0.0,0.17314823469296514
PHYURtest46.csv,0.895881533133197,-0.0,-0.316799557429865,1.7234539331098842,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3017727488767329,-0.030449740632537605,-0.0,2.308731037371443,-0.0,-0.024384303126902786,-0.0,12.358541363567848
PHYURtest47.csv,1.0668190798548463,-0.0,-0.36905332629961624,-0.0,-0.0,-0.0,-0.0,-0.0,0.7883573692936615,-0.0,-0.0,-0.0,38.492686494957624,-0.034453109801857576,-0.0,0.18973936665366256,-0.0,5.511519505324063,0.6273710587831327,0.11748005829840524
PHYURtest48.csv,1.3849321341689984,0.38993486874664496,-0.4689934463956414,-0.1924228416698097,-0.0,-0.0,-0.0,-0.0,-0.0,29.86209322414718,-0.0,-0.0,3.7463831100096425,1.9795995478400068,0.813257201996642,3.4669728806249926,-0.0,-0.029675553248826144,0.8051641862143138,0.15674744287362447
PHYURtest49.csv,-0.8294020635186694,-0.0,-0.49846252423835097,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.4946824679429636,-0.04138224574785597,-0.0,8.105212488438559,-0.0,-0.0301386476041087,-0.0,3.510310195495198
PHYURtest50.csv,1.1218977116196887,-0.0,-0.36732383330175356,-0.0,-0.0,0.6646682449633673,-0.0,-0.0,-0.0,-0.0,-0.0,0.6255136837412345,0.36901620927053036,-0.029468585117377488,-0.0,0.21303810862089262,-0.0,-0.02117371468106041,-0.0,0.13745981267409207
PHYURtest51.csv,-0.0,-0.0,-0.7335315308970941,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7459970349353033,-0.056794688915718636,-0.0,0.4372758243232691,-0.0,-0.040210814288088974,-0.0,0.28624394908964634
PHYURtest52.csv,0.6958296468229851,-0.0,-0.22285648522052515,-0.0,-0.0,54.800296628855655,-0.0,-0.0,-0.0,2.2070548380506647,-0.0,-0.0,1.8156665796122984,-0.016627398931965236,-0.0,0.13637990500854105,-0.0,-0.011583702236132061,-0.0,0.09048953396431719
PHYURtest53.csv,29.284336406592292,-0.0,-0.1764952758639603,3.1689409862275073,-0.0,8.065276120667457,-0.0,-0.0,-0.0,12.847819444209835,-0.0,0.3045111811240722,0.18568051897736837,-0.012672288842434026,0.3109411464718128,1.348231302682825,-0.0,-0.008672976593860269,0.3078746054399178,0.07451972787395597
PHYURtest54.csv,8.509858534085176,-0.0,-0.10346427480938866,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.2516162708285417,-0.0,-0.0,0.28149840879091903,1.146106524624329,-0.0,0.17390498784185773,-0.0,1.1660996723197,0.46581027601255004,0.11591738302848956
PHYURtest55.csv,-0.3184951432482893,-0.0,-0.21171397544911247,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.23481541247092036,1.7603192928383022,-0.012864625056674997,-0.0,0.14337551585810734,-0.0,3.2600121492778116,2.1178730090526607,0.0966911879730876
PHYURtest56.csv,-0.6056742672661528,-0.0,-0.36241685890865083,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.002429848807415,-0.020988273567787763,-0.0,0.2514438795414079,-0.0,1.636935719316552,3.6502469143723664,0.1714521215894358
PHYURtest57.csv,3.7156165774558874,-0.0,3.924914147763078,-0.1754023898891313,-0.0,-0.0,-0.0,-0.0,58.76089492185457,-0.0,-0.0,2.489320599077955,0.2817537633575546,13.141534208628139,-0.0,1.9604755343081508,-0.0,-0.004105016584439305,5.574418735911834,0.12192822875455671
PHYURtest58.csv,0.39347585782955147,-0.0,-0.10890621414688988,-0.038179741456939024,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.19799393624356917,0.9319308816643431,-0.004248319369862682,-0.0,0.08124431188593625,-0.0,5.449352833024734,0.2066212782040318,0.05562297808553471
PHYURtest59.csv,1.5783627087478032,-0.0,-0.4288050655064227,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5061510274712385,1.9484142358339542,0.7795336803494112,0.32718496859252577,-0.0,2.013711571050079,0.8214043001793723,0.22618907726531357
PHYURtest60.csv,-0.0,-0.0,-1.0702949798441992,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2770335424529096,-0.030148036953212363,-0.0,0.834479290370937,-0.0,0.01875569571572409,-0.0,0.5822395518829242
PHYURtest61.csv,-0.5985199948426807,-0.0,-0.4272494502177804,-0.0,0.6741448916889554,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5148215921926608,-0.010773437679324578,-0.0,2.2969649007402904,-0.0,0.008767304157980263,-0.0,0.23925003901863226
PHYURtest62.csv,-0.0,-0.0,-1.357245325895262,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9981933001575056,-0.0,-0.0,-0.0,0.7825486163765073
PHYURtest63.csv,6.2687931267431685,0.3539706035568517,-0.402606987354493,-0.13580829738606287,-0.0,30.42034633617059,-0.0,-0.0,-0.0,-0.0,-0.0,4.839317159248833,3.524152538895648,-0.008982590858949285,-0.0,0.33623226795961036,-0.0,0.00949405117533403,-0.0,0.23847273016777676
PHYURtest64.csv,0.9150984951342048,-0.0,-0.23607413244639103,-0.0758353415512912,-0.0,0.46459148820954016,-0.0,-0.0,-0.0,-0.0,-0.0,17.770712631249918,0.29306575609111907,-0.0045661587542990675,-0.0,0.20113518347119372,-0.0,1.1320472670990938,-0.0,0.14377462487527815
PHYURtest65.csv,-0.3677760142978414,-0.0,-0.7425265498138316,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9316327766037215,-0.01215228659181855,-0.0,0.6453560392500277,-0.0,0.02636978082416421,-0.0,0.46476966677937187
PHYURtest66.csv,-0.16922302748546214,-0.0,-0.3615457870258696,-0.0,-0.0,0.71940825145341,-0.0,-0.0,-0.0,3.7898622874917796,-0.0,-0.0,0.45812685593086355,-0.0048368487045606975,-0.0,0.32017881022643846,-0.0,1.7537852391480118,-0.0,0.23224052959686148
PHYURtest67.csv,7.100307155231838,-0.0,-0.390697318444589,-0.0,-0.0,-0.0,-0.0,-0.0,0.7768338884468555,-0.0,-0.0,-0.0,0.4406467717803163,4.168176220109913,-0.0,0.3106700039861591,-0.0,5.626344640455331,-0.0,0.2268927449244794
