,history,physics,engineering,computer,publication,science,research,view,details,professor,faculty,award,pdf,quantum,studies,book,press,systems,hashimoto,tatsunori
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test2.csv,3.216570495130748,-0.0,-0.5406640473300642,-0.0,-0.43270468529773654,-0.0,-2.669039598872518,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07233785841412414,-0.0,0.1029986877820221,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test20.csv,3.2765686593767795,-0.0,-0.28279739149001226,-0.0,-0.22559327646421326,-1.1756758199197155,-0.42755421506902724,-0.0,-0.0,-0.0,-0.0,-0.15978802122707433,-0.0,-0.0,-0.10130763419053943,11.132944865059448,6.28332039190454,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test21.csv,90.94189308740559,-0.0,-0.1944977101834731,-0.0,-0.15466086930395334,-0.0,-0.9443835586870486,-0.0,-0.0,0.07023723292805863,-0.5254612949732771,3.210000637959712,-0.0,-0.0,-0.024690485901638092,2.553882705505154,0.8132177728357511,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test22.csv,82.0042705725935,-0.0,-0.20951875275675244,-0.0,-0.1660773709229979,-0.8298370231797185,-1.5935939216182524,-0.0,-0.0,-0.2562550812284035,-0.0,-0.11526395435543177,-0.0,-0.0,-0.0,0.9939356565398417,0.1111383830255148,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test23.csv,46.06653381330303,-0.0,-0.30370102305623076,-0.0,-0.0,-0.0,3.371636714167237,-0.0,-0.0,-0.0,-0.7777090885569337,-0.2172792575623066,-0.0,-0.0,0.6857946299299259,0.1101876561746321,1.028150810777976,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test24.csv,-0.0,5.717460561416604,-0.0,-0.0,-0.0,-0.0,-3.3690298449573217,-0.0,0.12543228673036355,15.124312680800273,-0.5220742228175771,-0.0,-0.0,0.2853146853146853,-0.0,2.1055761244165634,11.645166247478837,0.1827620869706547,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test25.csv,-0.0,1.0596669348454233,-0.0,-0.0,-0.0,-0.0,-1.0287209379971964,-0.0,-0.0,-0.6323286298411763,-0.5858131405683714,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test26.csv,-0.0,-4.203104490705966,-0.0,-0.0,-0.0,-0.0,-1.866527101702686,-0.0,-0.0,-1.1456490652300655,-1.0627915572164612,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.37553019516483305,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test27.csv,-0.0,6.531160792073731,19.78348885929297,-0.0,-0.0,-1.9624635135287578,-2.8844334745025635,-0.0,0.14259002558517253,37.82475081527638,-0.5853908781255377,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test28.csv,-0.0,61.94360775552635,0.15023146950724928,-0.0,-0.0,0.06587161400458773,3.0780608570481878,-0.0,1.2601084666554148,18.00988811250317,-0.3221874464257806,2.8584374607623033,-0.0,24.364592739441484,-0.0320359178457216,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test29.csv,-0.0,41.99316158747594,-0.0,-0.0,-0.0,-0.0,-2.6609061192609977,-0.0,0.10490085085363968,14.81255543972232,-0.07723786095907748,-0.1879290511439599,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test3.csv,36.12868301877317,-0.0,-0.3451836924570289,-0.0,-0.2742459419297084,-0.0,-1.5978132950775987,-0.0,-0.0,-0.4329321362148871,-0.0,-0.0,-0.0,-0.0,-0.09134906608495955,0.1293690862177863,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test30.csv,-0.0,30.042624661491548,-0.0,-0.0,-0.0,-1.641313070988479,-2.461142520809043,-0.0,-0.0,0.724291355334961,-0.5018822029753749,-0.0,-0.0,18.604757189130954,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test31.csv,-0.0,26.707407213977124,16.998600637529133,16.01440292729905,-0.0,-1.6311466212866503,0.4482736401881484,-0.0,-0.0,25.06220778898525,-0.4688216584577453,1.1844278166432751,-0.0,16.34742513070101,-0.0,-0.0,-0.0,1.5899652852544781,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test32.csv,-0.0,72.14564658113355,-0.0,-0.0,-0.0,-0.0,6.375115168114698,-0.0,-0.0,44.37071353148891,-0.28877856427418425,-0.12839039782728445,0.19035497170597365,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test33.csv,-0.0,17.262645850025333,-0.0,-0.0,-0.0,-0.0,-2.8683768391552706,-0.0,0.11629456215780129,52.06033419456742,-1.041478147062821,-0.0,-0.0,2.0803410298149823,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test34.csv,-0.0,0.19513856637516938,-0.9538593185655595,-0.0,-0.0,-3.02564267233209,-1.3405723665166747,-0.0,-0.0,13.664296170020869,-1.2152979591340394,-0.0,-0.0,0.47667310228043847,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
