,physics,history,research,theory,computer,science,engineering,systems,publication,areas,quantum,view,details,experiment,data,matter,award,software,graduate,studies
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test28.csv,41.603043967500234,-0.0,-3.3923143651113072,-0.8515174926397013,-0.0,-1.1504770035035985,0.10632456939354605,-0.0,-0.0,-0.3578410579911484,20.68674793166686,-0.0,1.5166304808781714,-0.0,-0.0,0.9278070033153606,2.4420989456565083,-0.0,-0.0,-0.0596858744996765
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test29.csv,21.66607183456472,-0.0,-6.0007484183270945,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.26965591271085765,-0.0,-0.0,1.201384177571643,-0.36780171293915104,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test3.csv,-0.0,35.3784298241701,-6.772392146046721,-0.0,-0.0,-0.0,-0.3528381562516962,-0.0,-0.06819050032277746,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.300288698675055,-0.09642107687633752
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test30.csv,9.72901588797621,-0.0,-4.483716054990843,-0.0,-0.0,-2.9096361340272376,-0.0,-0.0,-0.0,-0.0,14.498313851816176,-0.0,-0.0,-0.0,-0.0,10.105604355884145,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test31.csv,8.07123064581286,-0.0,-7.112453694518887,-0.0,15.791555531566203,-2.732960051042455,16.822159544481693,0.3391999116464825,-0.0,-0.5209731740893275,12.618348980156451,-0.0,-0.0,-0.0,-0.0,1.3710435644685668,0.7767300022237491,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test32.csv,51.85561130481957,-0.0,-0.6144287389491426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.8451597045271737,-0.2544105654821037,-0.0,-0.6487150387393962,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test33.csv,1.4920136863824598,-0.0,-6.5314729310920425,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.503323088264248,0.592719028580965,-0.0,0.2963318643902398,-0.0,-0.0,1.3392656859379892,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test34.csv,-15.442859192314053,-0.0,-13.11737549951024,-0.0,-0.0,-4.652361365408917,-1.0419781737561404,-0.0,-0.0,-0.9039859942245126,-0.8629871080613288,-0.0,-0.0,-0.0,-0.0,2.419590535183251,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test35.csv,-5.200964453586385,-0.0,-6.191006797857356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.551605723793466,1.8079705024179564,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test36.csv,25.70063071631627,-0.0,8.701264685377648,-0.0,-0.0,-2.0115872120400367,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.22843059296025675,-0.0,-0.0,1.0399581913178118,0.5824605311023197,-0.0,1.238356438174653,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test37.csv,15.16491392175891,-0.0,-4.0866412289358856,-0.0,-0.0,-2.6633925805643,-0.4450397089290797,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.380562426612055,13.790788635812994,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test38.csv,12.467234891998237,-0.0,-5.68055692961716,-0.9576581311613437,-0.0,-0.0,-0.0,0.44534794328912075,-0.0,-0.0,-0.3674555619878332,-0.0,0.2291992908366397,-0.0,-0.0,1.0476331989415975,5.961131963594857,-0.0,-0.7800931612264309,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test39.csv,40.29439244727253,-0.0,-2.9082781589446816,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.47427513699101254,-0.3304275889077114,0.9910811238742909,-0.0,-0.0,-0.0,1.0060661696058106
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test4.csv,-0.0,-24.575530853787576,-0.0,-0.0,-0.0,-0.0,-2.4565645149069653,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.9383664917403896,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test40.csv,-10.643499032045646,-0.0,-7.025776903209378,-0.0,1.865237395633418,-3.2902270789979156,7.446599797267212,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.40398323545987,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test41.csv,10.418526897518241,-0.0,-8.110145835690409,-0.0,-0.0,-2.3000536691283404,-0.4744324219855961,-0.0,-0.0,-0.0,3.5756433660775593,-0.0,-0.0,-0.0,-0.0,5.014420492178536,-0.0,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test42.csv,21.480470345792817,-0.0,-0.0,-0.0,-0.0,-1.9267130807617585,-0.0,-0.0,-0.0,-0.46420493323743717,-0.0,-0.0,0.2773142341034631,-0.0,-0.0,4.211353807599747,0.7178927732725728,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test43.csv,-19.45766857753936,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.2450038430755415,-0.0,-0.0,-0.0,-0.0
