,history,physics,university,engineering,computer,research,science,vanderbilt,rochester,ub,faculty,professor,award,buffalo,department,studies,arts,graduate,information,latin
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test20.csv,5.985068286848346,-0.0,-2.214647216831006,-0.3611015650549119,-0.0,-1.2402209756039375,-1.0597827281206937,-0.0,-0.15844116608375064,-0.0,-0.0,-0.0,-0.2314971826922923,-0.0,-0.5267288931842216,-0.005462355074328188,-0.32155683518748657,6.510927319255146,-0.19695020033147836,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test21.csv,96.64071629790499,-0.0,-3.3016234402874,-0.24834436778490596,-0.0,-1.4141323840688376,-0.0,-0.0,0.4116077147603924,-0.0,-0.7405014319169827,0.13575981928275088,3.0347583001992815,-0.0,-0.3616140255729403,0.052447989986785216,-0.22021623334470725,-0.23704346208884594,-0.07277540138295602,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test22.csv,87.71091254469235,-0.0,-3.5944196058050766,-0.26751651340905985,-0.0,-1.9366664635438358,-0.7830386412934952,-0.0,-0.11567825424968448,-0.0,-0.0,-0.21461446545387952,-0.1672661519136983,-0.0,-0.38885580845169104,-0.0,-0.23622350354801766,2.3030072200238214,-0.14443239918707682,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test23.csv,51.78093503839361,-0.0,-0.5312746855098744,-0.38775862782720805,-0.0,2.2159528666052415,-0.0,-0.0,-0.16694205804102613,-0.0,-1.0653060148988034,-0.0,-0.28155737482903526,-0.0,-0.5626548722905117,0.8930652241019844,-0.34095682876700084,3.355472097336504,-0.20741103020760115,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test24.csv,-0.0,1.8506380836103393,-4.303920559001799,-0.0,-0.0,-4.035516862315927,-0.0,-0.0,16.283970219709666,-0.0,-0.6613306115427532,15.566338882139416,-0.0,-0.0,0.13088198616307858,-0.0,-0.30738743777506006,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test25.csv,-0.0,-2.419492571229959,-8.517311326174445,-0.0,-0.0,-1.1350683214833264,-0.0,-0.0,10.681843641839295,-0.0,-0.7420409945068142,-0.5602558373967109,-0.0,-0.0,0.15671678039691475,-0.0,-0.340795230370876,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test26.csv,-0.0,-8.97138579853147,-14.24879477652673,-0.0,-0.0,-2.0593639856473196,-0.0,-0.0,19.425959566879452,-0.0,-1.346164232239446,-1.0142118883313445,-0.0,-0.0,0.30217925832524467,-0.0,-0.6107733061375615,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test27.csv,-0.0,2.2528100054618716,0.2533635872734171,17.108715143699015,-0.0,-3.255909410797324,-1.8509719951045318,-0.0,18.349388663638223,-0.0,-0.7414259000203778,38.538142466100666,-0.0,-0.0,0.17619422308523014,-0.0,-0.3321791404118656,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test28.csv,-0.0,56.14985737815777,38.14719088144323,-0.4129632254158773,-0.0,2.0583224871692813,0.25131676400682124,-0.0,29.34370278738967,-0.0,-0.40804828860283016,18.38141297798905,2.6571960858886117,-0.0,8.514397744539995,0.07717779791506371,-0.18054924494742403,-0.0,-0.2401861179513714,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test29.csv,-0.0,36.23116961237025,10.574769093602807,-0.0,-0.0,-3.182350379371391,-0.0,-0.0,7.648807310160626,-0.0,-0.9628262787849488,15.217844024705913,-0.27321780568222054,-0.0,2.3484864696862067,-0.0,-0.2299183422343611,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test3.csv,41.85078420909065,-0.0,-5.7106722512893535,-0.440345644906516,-0.0,-2.4017433267857276,-0.0,-0.0,-0.17179635666703838,-0.0,-0.0,-0.3793719666131764,-0.0,-0.0,-0.6203466294897021,-0.07145148182840662,-0.3739860957933154,6.726345884623722,-0.23267127719676087,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test30.csv,-0.0,24.312280578676265,-0.2170111097026163,-0.0,-0.0,-2.7731679230387063,-1.4450793840951561,-0.0,15.87123130552495,-0.0,-0.6354456538070428,0.9092896214710274,-0.0,-0.0,2.865950924627782,-0.0,-0.27183292375294454,-0.0,4.046922608742381,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test31.csv,-0.0,21.47571612155356,5.231875288789712,14.81570025428789,14.591622864012832,-0.7148350521464154,-1.4588359388908256,-0.0,53.652525672629636,-0.0,-0.5935632050219514,25.623819216164,0.9925899183121408,-0.0,2.6934723633708564,-0.0,-0.2506217364011126,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test32.csv,-0.0,66.47864692347767,-2.097115647594409,-0.0,-0.0,5.308866650028645,-0.0,-0.0,9.159638633022583,-0.0,-0.36560117257103025,44.932706426579394,-0.18687506640629026,-0.0,4.2054328767303595,-0.0,-0.15234189609564505,-0.40365675955049535,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test33.csv,-0.0,12.879335250585955,-0.010767003594670161,-0.0,-0.0,-3.4212051687458147,-0.0,-0.0,14.42690079572719,-0.0,-1.5844860848312914,52.84946958796602,-0.0,-0.0,0.20624589849833044,-0.0,-0.2361580779182995,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test34.csv,-0.0,-4.128259185106451,-7.898730452538509,-1.9937404886465842,-0.0,-3.108786760274308,-2.768705625715478,-0.0,15.259356101789734,-0.0,-2.624218394882234,14.29967573059467,-0.0,-0.0,0.3848997995757095,-0.0,-0.41920579748764475,-0.0,-0.5947065426842059,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test35.csv,-0.0,7.611696281753583,7.178362507596148,-0.0,-0.0,4.257545019497552,-0.0,-0.0,31.106547394283048,-0.0,-2.1114631077948496,0.4872782188032732,-0.0,-0.0,0.2966660295347836,-0.0,-0.30770998126700566,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test36.csv,-0.0,39.15388479039092,42.276930917230814,-0.0,-0.0,18.297911169018935,-0.9860502102047036,-0.0,16.91833589498134,-0.0,-0.43900063271645645,0.9031103401960167,0.7469242314343674,-0.0,2.0564299645794937,-0.0,-0.17384169688681766,2.128033975096768,-0.2522333846823196,-0.0
