,research,theory,science,engineering,systems,publication,areas,quantum,view,details,experiment,data,matter,award,software,graduate,studies,group,press,programs
565,220.83393887973384,0.247487099454938,-0.0023690862709196,31.216748323538983,130.3070185364283,-0.0,55.275734264247845,-0.0,-0.0,-0.0,-0.0,8.316138775242619,-0.0,0.0751129556434944,50.24822862175085,-0.0,-0.0,7.32548925627359,0.2672903118436538,3.025495301139013
566,-0.6064089150874338,-0.0,-0.3293928448790086,-0.2623349683488016,-0.2380258872219253,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0350196809793243,-0.0,0.1257001200196412,-0.0407024527413513,-0.0,-0.0,-0.0,-0.0,-0.0
567,61.869540568610645,-0.0,21.930153449976785,1.624499209842586,-0.0,-0.0,30.610733393371003,-0.0,-0.0,-0.0,-0.0,0.0599209148711009,-0.0,-0.0,2.575718403095308,-0.0,-0.0,13.738753251173312,0.7629715201471479,4.745510296431637
568,157.9016289455141,112.57335422215314,10.862547277034906,7.670423300983907,7.73810480919607,-0.0,83.72262181345504,0.5949062569258625,-0.0,-0.0,-0.0,4.979451029245862,-0.0,-0.0,12.128653946835255,-0.0,-0.0,64.62654861153234,0.3611999096603554,-0.0
569,96.5367231530751,2.1009528992635245,2.738914796723292,3.9630246471699473,21.981920264556774,-0.0,76.15785961334497,-0.0,-0.0,-0.0,-0.0,26.04865287964934,-0.0,-0.0,11.147287363509903,-0.0,-0.0,33.948577932108186,0.1972052667404218,-0.0
570,20.47876547893131,-0.0,-0.0,-0.0,4.261976867130136,-0.0,-0.0,2.5874239523273608,-0.0,-0.0,-0.0,4.732216405784221,-0.0,49.50338585341469,-0.0,-0.0,-0.0,0.1141815570112885,-0.0,0.1011271804688051
571,-3.509299021459052,-0.0,-1.0251767617876368,-0.8484721271297389,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1135540624304747,-0.6028465045292865,-0.2178765597076888,-0.2541536476527971,-0.0,-0.0
572,115.9777586405318,90.51650582721334,2.2745962151876387,2.11656097631162,0.521399467012944,-0.0,47.26362369957143,-0.0,-0.0,-0.0,-0.0,36.85477812702418,-0.0,-0.0,1.1601760608595564,-0.0,-0.0,3.627334111709196,0.3419529295556641,-0.0
573,283.62523905399206,0.3674594726968506,1.5058820085496407,88.7274697698424,36.79032901058996,-0.0,147.1603807502371,-0.0,0.2606497329161922,-0.0,-0.0,10.589128346579086,-0.0,-0.0,606.1924741689517,-0.0,-0.0,77.60383658339495,0.1084022080020389,0.0364440706304561
574,80.76759657555556,-0.0,-0.112492774980316,3.40539365681866,405.88379052457685,-0.0,66.31539248312787,-0.0,-0.0,-0.0,-0.0,15.235684974796776,-0.0,0.0465836384026308,59.60485130807491,-0.0,-0.0,10.407552879002322,0.1608754676863585,0.0539024197214442
575,462.8493630662569,43.88556104019916,2.846307100920717,13.183392351954362,28.607355774955675,-0.0,165.33250095224165,-0.0,-0.0,-0.0,-0.0,29.87980124631887,-0.0,0.3375313243362211,25.91683573547754,-0.0,-0.0,72.85125822094113,0.1350876174982281,-0.0
