,history,physics,university,computer,research,rochester,ub,engineering,science,award,professor,faculty,buffalo,disability,war,ieee,arts,var,quantum,matter
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test6.csv,62.63071498951095,-0.0,3.228675925296141,-0.0,-3.3599406588329237,-0.21397300660837912,-0.0,-0.2829167442158162,-1.01924553217791,-0.0,-0.16129832259268706,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6546377307931833,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test60.csv,-0.0,23.908587635430443,28.630515105955453,-0.0,-3.1019488282933727,18.28470934168337,-0.0,-0.8240366704722085,-0.0,-0.0,32.289755106690336,-0.6087691932077054,-0.0,-0.0,-0.0,-0.0,-0.869932024409372,-0.0,-0.0,1.8847340913839432
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test61.csv,-0.0,41.08709537779713,2.479480614758839,-0.0,-2.3394317450919653,9.384393261568393,-0.0,-0.0,-0.0,-0.4259483617919798,2.8538251266460186,-1.3823614823968,-0.0,-0.0,-0.0,-0.0,-0.6917146412841215,-0.0,-0.0,4.077025110826146
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test62.csv,-0.0,-0.6725562144596492,-4.242251807230652,-0.0,-3.749307320624898,38.267531781253425,-0.0,-0.0,-0.0,-0.0,5.897056691616009,-0.8787066162258086,-0.0,-0.0,-0.0,-0.0,-1.2434596831758613,-0.0,-0.0,14.13439017976075
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test63.csv,-0.0,12.591174865120033,0.33599495430930554,-0.0,-2.2797891345919945,6.517410005471832,-0.0,0.579607753866308,-0.7090915225131198,0.21124594978567995,2.6588209125323004,-0.3126962242219654,-0.0,-0.0,-0.0,-0.0,-0.43991940635627497,-0.0,-0.0,0.9949225680521772
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test64.csv,-0.0,13.526241832427397,2.816378399878266,-0.0,-2.154361895840149,6.261457603655976,-0.0,-0.0,-0.7392025961596097,-0.25121009353524454,7.3934799056143605,-0.2989650384933555,-0.0,-0.0,-0.0,-0.0,-0.41829997800219404,-0.0,-0.0,2.5448100812957297
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test65.csv,-0.0,-2.105341690465572,-3.774624086826003,-0.0,-7.228934384819351,12.200347256407502,-0.0,-0.0,-0.0,-0.0,21.940356600972496,-1.0058185417208974,-0.0,-0.0,-0.0,-0.0,-1.3995663424884728,-0.0,-0.0,3.2591902524324694
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test66.csv,-0.0,-15.930826137062873,-13.628754721876884,-0.0,-0.0,18.586370863655088,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5264526518104793,-0.0,-0.0,-0.0,-0.0,-2.111232906477488,-0.0,-0.0,4.979707998552211
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test67.csv,-0.0,-8.506816635094722,-8.688345482565092,-0.0,-5.616900719125394,24.888421735524712,-0.0,-0.0,-0.0,-0.0,1.5450217061320215,-1.1767333521828183,-0.0,-0.0,-0.0,-0.0,-1.6170978782116916,-0.0,-0.0,3.86188517228084
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test68.csv,-0.0,-6.960171249874324,-13.420876178753655,-0.0,-0.0,18.657323120338567,-0.0,-0.0,-0.0,-0.0,0.9439411692204904,-1.5244423995975558,-0.0,-0.0,-0.0,-0.0,-2.081909922962388,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test69.csv,-0.0,0.4152160594806526,10.017124349689674,-0.0,-6.134748382558224,18.197861890900118,-0.0,-0.0,-0.0,-0.7179477713889673,5.94357109617598,-0.8569043082082409,-0.0,-0.0,-0.0,-0.0,-1.1626619506519489,-0.0,12.587257575191346,7.425653490253151
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test7.csv,-4.404943344091588,-0.0,-6.096282522586647,-0.0,-7.1256806521373335,-0.38630054669732594,-0.0,-0.6142226146364529,11.215401352167275,-0.8153039467117671,-0.15127946274457793,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3599532260738967,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test70.csv,-0.0,33.635905028777415,11.590809669587536,-0.0,-3.8430604526488694,6.670734498667979,-0.0,-0.0,-1.330481199871538,10.65649477531406,19.149194629443894,-1.3798183121672654,-0.0,-0.0,-0.0,-0.0,-0.7254323753643177,-0.0,0.0589985430343496,1.8021200029707711
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test71.csv,-0.0,-7.084904297848397,16.484688513670676,-0.0,-5.362812412369267,16.281710340369933,-0.0,-0.0,-0.0,0.580319166443531,12.635242776250674,-2.2472955576505247,-0.0,-0.0,-0.0,-0.0,-1.014416528637029,-0.0,-0.0,2.553348536191317
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test72.csv,-0.0,-9.04648768673242,-10.523289475247243,-0.0,-7.0045519162690715,15.4889353451529,-0.0,-0.0,-0.0,-0.0,-0.18746243460375434,-1.2386810749307882,-0.0,-0.0,-0.0,-0.0,-1.6488968114590796,-0.0,-0.0,4.204601791085845
